bookValuePerShare,cashAndCashEquivalentsIncrease,cashFlowFromOperatingActivities,cashFlowFromOperatingActivitiesPerShare,currentAsset,currentLiability,earningPerShare,equity,investmentRevenue,netProfit,netProfitExclNonRecurring,operatingProfit,operatingRevenue,stockCode,totalAsset,totalLiability,type,year
null,1104,42287,null,142668,137207,0.04,123721,null,1922,795,2266,280593,002442.SZ,266249,142527,indicators,2019
null,-6103,16378,null,266643,94340,0.53,243888,2700,27550,21617,34762,504910,002443.SZ,371030,110982,indicators,2019
null,-31424,80989,null,514443,251603,0.84,743059,7539,89503,82021,104546,662546,002444.SZ,1113250,351606,indicators,2019
null,-2546,6117,null,173906,267383,-1.29,18163,-14380,-179847,-154580,-171044,59754,002445.SZ,288233,268921,indicators,2019
null,-13946,21619,null,264634,135051,-0.87,280065,1075,-75654,-78556,-77300,133358,002446.SZ,450475,169550,indicators,2019
null,-650,1245,null,49338,3283,-0.7,56118,-74,-99935,-95016,-93946,6636,002447.SZ,73332,17213,indicators,2019
null,18109,17034,null,155876,70996,0.15,264532,6028,8812,9159,7139,149019,002448.SZ,418102,149680,indicators,2019
null,-8320,68212,null,401027,277892,0.66,365933,543,40780,36249,48167,406910,002449.SZ,663245,298494,indicators,2019
null,-1290328,-95620,null,1838162,1091934,-1.64,1228971,13357,-580974,-130176,-384995,145929,002450.SZ,2683661,1453447,indicators,2019
null,2500,33026,null,49954,43554,0.08,69740,173,3652,-2664,4916,36702,002451.SZ,120529,50548,indicators,2019
null,-621,3913,null,182904,139848,0.27,125672,728,14490,9521,11701,115913,002452.SZ,294771,167913,indicators,2019
null,-15126,24590,null,129578,94903,-0.55,59085,3463,-31400,-23311,-14343,263503,002453.SZ,182787,113966,indicators,2019
null,-8390,24590,null,385692,187648,0.28,343256,668,17640,12289,18878,340600,002454.SZ,580744,207768,indicators,2019
null,-18845,21413,null,134889,132654,0.13,132875,-27,6472,5266,6910,257464,002455.SZ,286059,153184,indicators,2019
null,111580,325636,null,2388591,2559209,0.19,945879,16796,50985,32113,65701,5197413,002456.SZ,4055953,2958169,indicators,2019
null,28236,35069,null,231023,143280,0.47,196941,1393,15684,12877,20225,199593,002457.SZ,356109,151397,indicators,2019
null,123557,213474,null,171032,48833,3.79,360073,7383,217604,217521,218675,358353,002458.SZ,414086,53360,indicators,2019
null,122933,369053,null,1483154,1509236,1.27,798939,-11578,125196,128262,166872,2115548,002459.SZ,2852761,2023283,indicators,2019
null,-189051,66929,null,571703,325886,0.28,835526,16217,35807,69442,47531,534172,002460.SZ,1421303,580275,indicators,2019
null,60311,75802,null,591949,225516,0.22,857652,67,49748,36080,58564,424361,002461.SZ,1202073,338978,indicators,2019
null,49059,29311,null,1172341,809639,1.44,342552,305,37596,36971,89110,2218657,002462.SZ,1303739,811453,indicators,2019
null,43259,106418,null,475246,266251,0.72,513406,579,120598,114803,135317,712854,002463.SZ,823622,310216,indicators,2019
null,-1807,20487,null,48620,178906,-2.59,12106,2050,-135316,-136926,-135222,46185,002464.SZ,191686,179582,indicators,2019
null,60328,23645,null,786590,226560,0.23,959458,3379,51947,35073,56959,460711,002465.SZ,1307670,303429,indicators,2019
null,303906,235493,null,644303,2233654,-5.24,696298,33735,-598336,-621940,-453813,484062,002466.SZ,4659685,3768741,indicators,2019
null,-32686,14624,null,89259,48050,0.13,206269,559,17461,3667,20777,101357,002467.SZ,270865,55976,indicators,2019
null,-81144,197565,null,643646,460143,0.92,913695,2718,140831,134274,185269,2308894,002468.SZ,1385522,464421,indicators,2019
null,2344,1561,null,142274,31566,0.15,122975,1963,7736,3599,8952,63101,002469.SZ,165450,31566,indicators,2019
null,-141675,-95575,null,1310150,924501,0.04,1055657,1812,12103,6359,13482,1262894,002470.SZ,2253432,1000042,indicators,2019
null,18611,62857,null,479677,413326,-0.37,144312,-11078,-46288,-14815,-20702,738090,002471.SZ,639505,466993,indicators,2019
null,-27485,49330,null,287146,255570,0.12,359181,165,7832,4575,10084,323582,002472.SZ,815967,447814,indicators,2019
null,-3909,-8958,null,22345,2387,-0.81,16912,436,-12892,-8713,-9131,9482,002473.SZ,23555,6849,indicators,2019
null,10116,10824,null,191188,112948,0.08,153755,2082,4982,62,3322,72732,002474.SZ,275868,121057,indicators,2019
null,233782,746599,null,3075090,2485973,0.88,2029662,17282,471382,443597,574469,6251631,002475.SZ,4937791,2762821,indicators,2019
null,-2315,5056,null,56486,14649,0.15,80883,129,9125,-2975,-2442,41689,002476.SZ,96529,15645,indicators,2019
null,8696,66918,null,360296,177255,0.63,446288,1065,60116,58972,79849,528511,002478.SZ,684404,186373,indicators,2019
null,9579,31570,null,247915,402643,0.34,380391,3117,30041,26808,44625,411570,002479.SZ,910311,447467,indicators,2019
null,-46513,2197,null,410901,435045,-0.28,215986,2456,-18325,-21468,-19919,199677,002480.SZ,760782,529823,indicators,2019
null,62272,9652,null,248275,149082,0.15,277218,1038,18704,17897,21188,212178,002481.SZ,429355,152250,indicators,2019
null,-46323,-99717,null,2141423,1483792,0.09,693611,3799,14388,10342,23934,1304626,002482.SZ,2444419,1738747,indicators,2019
null,16596,34019,null,297329,197048,0.21,262231,4212,14029,8524,9889,231369,002483.SZ,534556,232936,indicators,2019
null,3140,10189,null,264554,84135,0.3,342882,272,24060,19929,30638,212303,002484.SZ,450096,90409,indicators,2019
null,8465,14889,null,112395,84967,0.17,231433,6,9357,3882,16816,358474,002485.SZ,375125,133278,indicators,2019
null,-5370,-7337,null,56009,15914,-0.02,92171,1631,-1734,-2370,2462,100536,002486.SZ,110035,17533,indicators,2019
null,18618,22842,null,266023,142850,0.32,200771,1174,17565,15616,20744,168734,002487.SZ,368732,167961,indicators,2019
null,-142971,-25398,null,254558,246464,0.02,399711,4457,2310,-6990,2780,211371,002488.SZ,670683,270465,indicators,2019
null,-29462,55087,null,401536,305295,0.23,371620,10990,50002,21208,55489,468521,002489.SZ,684878,305855,indicators,2019
null,-8267,68835,null,245893,386987,-0.25,174752,338,-19631,-19551,-18905,438890,002490.SZ,573575,394679,indicators,2019
null,-46226,46463,null,476829,479418,-1.68,289423,2847,-212310,-220120,-223518,353871,002491.SZ,854981,556813,indicators,2019
null,2602,15338,null,50365,20097,0.13,128126,623,5268,4443,6548,27485,002492.SZ,163116,34169,indicators,2019
null,-168958,-205188,null,5559620,8117150,0.35,2255460,90097,220688,196721,313861,8249988,002493.SZ,18258672,14101904,indicators,2019
null,-253,-15676,null,125446,48495,0.04,189353,71,1689,944,2087,47718,002494.SZ,253733,64846,indicators,2019
null,-1849,3586,null,26175,4373,0.03,118945,62,2798,2832,3660,29659,002495.SZ,126857,7912,indicators,2019
null,5524,11900,null,181724,153065,-0.33,277429,3077,-50393,-57756,-54046,122638,002496.SZ,541484,247994,indicators,2019
null,8462,28609,null,186097,92067,0.07,283102,2868,7168,-5582,14878,319674,002497.SZ,521799,206054,indicators,2019
null,-10062,44854,null,506567,119273,0.13,503757,3540,43549,39258,50035,617961,002498.SZ,635910,130544,indicators,2019
null,-3075,-6711,null,67263,52591,-0.65,5225,311,-12364,-13725,-10420,4867,002499.SZ,89880,84783,indicators,2019
null,328220,395825,null,null,null,0.18,1265448,106357,51018,48750,66761,510218,002500.SZ,5569578,4248004,indicators,2019
null,-1932,-504,null,86884,581849,-7.69,-537458,343516,-933988,-825031,-782800,18324,002501.SZ,295645,833133,indicators,2019
null,-26422,1144,null,95174,7776,-0.98,130338,-523,-83916,-86767,-87820,106352,002502.SZ,139576,7776,indicators,2019
null,-23338,9971,null,870784,452983,0.07,544347,2365,20756,16569,28679,1292399,002503.SZ,1131562,554998,indicators,2019
null,-2872,-3285,null,365222,329281,-0.33,62956,null,-34144,-33732,-34530,82922,002504.SZ,393494,329693,indicators,2019
null,14975,15946,null,545118,615489,0.01,457144,14392,6201,-3315,9124,1348818,002505.SZ,1317436,780321,indicators,2019
null,-67714,94939,null,808146,1022180,0.01,439094,26150,5556,-25991,12829,868359,002506.SZ,1604211,1159971,indicators,2019
null,-30113,51650,null,163594,38519,0.77,287116,3429,60514,56323,71862,198959,002507.SZ,336204,49088,indicators,2019
null,185208,155522,null,905180,355707,1.68,686439,12710,158981,151698,187176,776058,002508.SZ,1065192,367764,indicators,2019
null,1559,15299,null,291514,271001,0.1,266846,22587,8913,-2653,3400,216871,002510.SZ,586987,316951,indicators,2019
null,30487,136037,null,274399,181438,0.47,407700,33,60383,58873,71947,663491,002511.SZ,602627,194927,indicators,2019
null,2908,31855,null,228628,360235,0.05,131260,13767,4962,-62237,8378,228267,002512.SZ,546997,414145,indicators,2019
null,5842,25508,null,81477,142029,-1.52,113536,4,-51656,-52209,-55879,150443,002513.SZ,270269,156733,indicators,2019
null,2113,22598,null,84358,65807,0.12,101103,40,6630,6224,6131,82711,002514.SZ,177954,75384,indicators,2019
null,-4636,-12922,null,103591,6721,0.04,131373,177,3355,1811,3595,28154,002515.SZ,144109,12700,indicators,2019
null,-1648,21100,null,233024,52606,0.11,357494,2386,16701,14471,20579,157399,002516.SZ,413843,53020,indicators,2019
null,-13277,32667,null,227140,75132,-0.86,285073,1883,-185069,-203888,-160019,203688,002517.SZ,384488,94123,indicators,2019
null,10478,98375,null,288783,125269,0.55,261898,179,32070,29727,35810,261017,002518.SZ,405709,143168,indicators,2019
null,10612,40360,null,213932,81137,0.14,253311,2083,15275,8446,17288,120034,002519.SZ,341904,87812,indicators,2019
null,-12246,50251,null,172720,137774,0.24,285406,1320,17630,14400,22151,216005,002520.SZ,582324,296577,indicators,2019
null,2489,28171,null,293942,84183,0.27,348314,2522,13271,11511,14984,324982,002521.SZ,434199,85885,indicators,2019
null,7761,17215,null,156711,103795,0.07,182100,377,6416,4304,1253,124581,002522.SZ,329935,136012,indicators,2019
null,-266,17114,null,262328,137531,0.06,211757,1214,8095,5001,7791,133387,002523.SZ,363689,140928,indicators,2019
null,-14345,7905,null,54349,54972,0.14,88822,12518,7267,-2343,21736,128487,002524.SZ,177618,71763,indicators,2019
null,6641,38767,null,226837,71522,0.11,263220,1970,18951,18568,26692,217772,002526.SZ,339985,72236,indicators,2019
null,-2514,26908,null,409814,227406,0.09,266287,3995,5359,-1045,10181,353397,002527.SZ,635745,312698,indicators,2019
null,17943,-83037,null,390032,233004,0.06,377540,2199,7509,4773,7611,475115,002528.SZ,653621,275108,indicators,2019
null,-9189,-11963,null,68603,62716,-2.06,82315,-144,-53549,-53629,-48087,21766,002529.SZ,146653,64338,indicators,2019
null,-21236,-5895,null,196417,59523,-0.87,337598,8433,-67907,-74472,-63640,126245,002530.SZ,428454,73454,indicators,2019
null,-48901,84854,null,581728,489242,0.42,580989,6834,74650,70712,87279,596685,002531.SZ,1306619,711825,indicators,2019
null,-1014,26514,null,80122,51927,0.26,140965,719,13175,11787,16582,165319,002532.SZ,198909,53818,indicators,2019
null,-19129,19955,null,320271,190901,0.35,248434,540,19760,17069,24506,584432,002533.SZ,461585,199945,indicators,2019
null,84677,90518,null,685689,502722,0.5,325235,7294,36612,23472,52150,392743,002534.SZ,929802,581268,indicators,2019
null,-941,-97612,null,197763,321828,-2.48,78719,294,-199133,-141175,-205495,104658,002535.SZ,495892,413160,indicators,2019
null,5532,37663,null,184802,171351,0.16,209192,853,6634,3538,5404,263826,002536.SZ,390782,179681,indicators,2019
null,-51797,3336,null,477544,265932,-1.99,381328,947,-245587,-248363,-244287,530284,002537.SZ,667712,277482,indicators,2019
null,-37502,28705,null,270942,93166,0.33,383513,-3225,23812,14119,30379,301593,002538.SZ,557703,166180,indicators,2019
null,-692,93883,null,412122,547825,0.21,321553,-30,21324,15836,29935,862647,002539.SZ,971782,641945,indicators,2019
null,1170,16585,null,322146,35329,0.29,462069,6306,36200,26537,41929,353101,002540.SZ,502143,40074,indicators,2019
null,2379,87113,null,821384,701091,1.07,493802,-4905,55912,45565,67110,1075492,002541.SZ,1275250,781448,indicators,2019
null,26573,14768,null,634734,417671,0.14,410830,3867,25151,21458,28961,410028,002542.SZ,900829,486101,indicators,2019
null,-210,81487,null,368996,296932,0.8,373223,3421,59808,47346,70847,621971,002543.SZ,696324,305311,indicators,2019
null,-1318,-3072,null,663669,501657,0.06,207768,180,3660,2243,7979,622621,002544.SZ,768679,550879,indicators,2019
null,-886,41284,null,347625,229579,0.24,770375,8211,30473,16142,37919,260592,002545.SZ,1180881,408882,indicators,2019
null,22832,16467,null,295433,38819,0.2,297280,10242,16677,7851,18387,71989,002546.SZ,344261,39980,indicators,2019
null,-4601,55278,null,465403,501226,0.02,274031,-9264,2213,-2731,5698,726165,002547.SZ,805421,514917,indicators,2019
null,-437,21698,null,132690,181470,0.34,183563,9101,14053,2219,23004,240001,002548.SZ,415714,210666,indicators,2019
null,-2293,11489,null,59752,38579,0.14,96911,832,8922,7822,10296,51453,002549.SZ,162088,62200,indicators,2019
null,-21683,16155,null,208931,54199,0.21,233186,10459,26256,19539,30024,167515,002550.SZ,293429,60165,indicators,2019
null,26359,13988,null,248274,100210,0.08,233662,-96,5976,4753,7223,153082,002551.SZ,472002,190392,indicators,2019
null,-1117,1171,null,33730,5372,0.18,66256,4853,5607,1811,5569,34037,002552.SZ,72749,6493,indicators,2019
null,-6642,6873,null,42613,9459,0.12,68663,1070,4221,1504,5301,40744,002553.SZ,78592,9928,indicators,2019
null,12237,31641,null,280839,199893,0.08,176952,468,8524,6447,13984,229345,002554.SZ,417338,232787,indicators,2019
null,61952,325756,null,635514,260039,1,702931,11061,211477,208913,267212,1322714,002555.SZ,1014526,285155,indicators,2019
null,29972,117494,null,534247,495848,0.23,257653,7296,19345,2016,22650,1862608,002556.SZ,818223,536365,indicators,2019
null,-12295,64628,null,366356,168849,1.19,365429,5369,60353,48226,69487,483725,002557.SZ,540870,175371,indicators,2019
null,-85069,150507,null,511802,158808,0.41,801008,14073,82004,76246,87119,257143,002558.SZ,994016,187543,indicators,2019
null,4474,24690,null,181069,104747,0.18,158973,176,9707,8908,11580,146813,002559.SZ,298535,112329,indicators,2019
null,6239,27925,null,177055,98948,0.22,164728,1149,9574,7791,8518,178358,002560.SZ,297989,122537,indicators,2019
null,7272,22568,null,179298,36962,0.51,229267,2976,21296,18402,30175,192865,002561.SZ,275985,42349,indicators,2019
null,24960,-9441,null,162985,119031,0.05,231690,1617,4383,1360,4970,125772,002562.SZ,430994,199304,indicators,2019
null,28098,167684,null,1131360,399718,0.58,1176475,4992,154940,148408,215245,1933677,002563.SZ,1662069,482629,indicators,2019
null,99988,20806,null,2537087,2263493,0.05,366923,-13235,4239,4643,21316,1077920,002564.SZ,3182611,2732712,indicators,2019
null,-228,18750,null,177651,87883,-0.19,194185,1330,-19838,-22288,-23831,173437,002565.SZ,305713,91453,indicators,2019
null,2417,21087,null,198316,39601,0.23,193221,null,7660,6374,11100,101275,002566.SZ,249651,43866,indicators,2019
null,-7452,54207,null,273594,315527,0.24,332565,1243,20236,20284,35472,1534286,002567.SZ,728090,348084,indicators,2019
null,-15639,53049,null,80944,49450,0.58,200114,null,30033,27858,39142,146844,002568.SZ,256152,55831,indicators,2019
null,-4396,-1185,null,35571,22000,0.32,33896,4,4448,-2522,-2209,35912,002569.SZ,61630,27362,indicators,2019
null,-35997,-4994,null,229689,223989,-0.1,168804,87,-10308,-13846,-9107,278548,002570.SZ,437597,264661,indicators,2019
null,-1164,12724,null,75531,44991,0.03,143714,1711,1349,3540,1896,86731,002571.SZ,193452,46716,indicators,2019
null,-83729,130124,null,412757,244445,1.18,544455,5210,107743,97092,134820,768608,002572.SZ,848401,257473,indicators,2019
null,-138,134573,null,463755,394117,0.35,489628,1186,37990,37632,41168,337530,002573.SZ,992664,482771,indicators,2019
null,9537,-179,null,315804,106460,0.11,323703,10471,5779,-9899,13026,342950,002574.SZ,439303,114834,indicators,2019
null,-3880,185,null,20603,15383,-0.34,72066,-6102,-19821,-15030,-19622,3594,002575.SZ,90946,15743,indicators,2019
null,3929,7060,null,103574,42890,0.21,89668,631,3422,2510,3826,129356,002576.SZ,132159,43337,indicators,2019
null,6483,4949,null,85089,9885,-0.61,100284,-75,-17387,-9292,-16268,44968,002577.SZ,110640,10356,indicators,2019
null,-11417,17739,null,71164,22013,0.05,138810,1168,5044,3875,6020,146330,002578.SZ,161732,22897,indicators,2019
null,24444,24558,null,171074,149294,0.4,134044,2616,14869,11936,18615,209877,002579.SZ,334531,200487,indicators,2019
null,10390,15879,null,137835,48489,0.07,120585,-118,2359,776,2490,185655,002580.SZ,191149,68620,indicators,2019
null,-55458,3218,null,180474,23587,0.07,237547,12808,4378,3942,5371,61064,002581.SZ,347232,102407,indicators,2019
null,-12645,47701,null,315372,275531,0.38,340213,10001,19262,3890,24656,596117,002582.SZ,642452,302148,indicators,2019
null,27175,107875,null,864819,787152,0.04,613831,16,8081,-4978,1369,784354,002583.SZ,1648217,1034361,indicators,2019
null,20121,11097,null,288222,193014,0.07,194133,260,3833,3674,5493,333475,002584.SZ,421203,221287,indicators,2019
null,7106,106607,null,451514,134958,0.15,764344,2723,17349,13399,19699,447231,002585.SZ,899542,135197,indicators,2019
null,-44313,-7292,null,523189,469772,-1.24,374008,4259,-142166,-12562,-134823,343760,002586.SZ,943788,549058,indicators,2019
null,14397,18386,null,191060,97661,0.3,136423,509,18223,16758,20707,124513,002587.SZ,239266,100244,indicators,2019
null,10168,115036,null,338440,184323,0.09,438193,-111,10831,8398,11738,577602,002588.SZ,659576,207075,indicators,2019
null,50790,209452,null,2775722,2066009,-0.62,718649,5963,-92780,-113628,12972,3525851,002589.SZ,3246527,2221253,indicators,2019
null,-642,20217,null,221211,139650,0.26,189608,11493,12707,-1030,13390,224912,002590.SZ,358397,161036,indicators,2019
null,4827,7309,null,64626,22528,0.28,127703,169,8474,8167,9610,37818,002591.SZ,153034,22916,indicators,2019
null,-20881,40120,null,101266,77516,-1.53,145443,-4142,-40648,-38673,-37652,75090,002592.SZ,270974,96232,indicators,2019
null,-8557,4071,null,277078,198180,0.11,191324,-448,8239,7391,9604,263633,002593.SZ,396048,202935,indicators,2019
null,52324,1474101,null,10696661,10802895,0.5,5676229,-80870,161445,23051,231229,12773852,002594.SZ,19564159,13304017,indicators,2019
null,-3521,-17117,null,413554,173843,1.08,495118,2455,86276,83317,101240,438706,002595.SZ,679177,183464,indicators,2019
null,15683,23490,null,307290,198805,-0.36,311182,-2366,-41192,-41423,-35345,257678,002596.SZ,616099,297632,indicators,2019
null,-65735,90575,null,400042,112465,1.45,448206,2943,80876,74347,93982,397186,002597.SZ,614933,166717,indicators,2019
null,-6769,6169,null,96582,48958,0.24,85473,1649,7515,7262,8112,107865,002598.SZ,137390,50808,indicators,2019
null,12255,31109,null,122352,71195,0.26,174109,432,14131,12651,17181,195269,002599.SZ,266933,90017,indicators,2019
null,138631,299710,null,1670621,1333148,0.28,1161927,-1834,189418,90677,222022,2391582,002600.SZ,2731778,1565791,indicators,2019
null,-44041,200355,null,784279,838958,1.29,1387094,-5077,259398,249163,305048,1135854,002601.SZ,2594278,1187084,indicators,2019
null,-278716,216733,null,923646,625716,0.46,2453279,19199,227844,197106,308637,1469022,002602.SZ,3233592,745387,indicators,2019
null,-6418,6893,null,506820,80643,0.51,794441,2808,60650,55576,71018,582529,002603.SZ,906940,111685,indicators,2019
null,14140,70798,null,87345,101533,0.87,149301,-1511,34484,31793,49952,173660,002605.SZ,302097,144979,indicators,2019
null,272,5773,null,85304,35343,0.11,92057,123,4646,3669,5170,73685,002606.SZ,135033,42598,indicators,2019
null,207562,247399,null,483626,642223,0.29,343155,25922,180455,170037,209067,917613,002607.SZ,996071,652917,indicators,2019
null,108029,463105,null,1862983,2141565,0.64,2703139,201152,240414,183782,392109,1991464,002608.SZ,7019448,3342147,indicators,2019
null,-27845,-6787,null,177863,49916,0.22,205425,-238,14233,12906,15131,116419,002609.SZ,275500,62894,indicators,2019
null,-35032,82531,null,480656,449420,-0.36,410719,-26321,-161171,-130422,-131407,512601,002610.SZ,1164529,753467,indicators,2019
null,16873,28130,null,497323,152119,1.01,433706,138491,183802,43872,200980,997350,002611.SZ,627352,187143,indicators,2019
null,-16420,59675,null,191559,108015,0.14,297803,15998,5878,2530,15610,300726,002612.SZ,529894,161314,indicators,2019
null,-7285,5279,null,128747,35243,0.03,150026,734,2663,834,2969,109467,002613.SZ,197922,39099,indicators,2019
null,1922,27634,null,340894,270118,0.52,338690,156,28898,28910,35673,527627,002614.SZ,620480,274791,indicators,2019
null,33458,10512,null,119090,94877,0.13,89094,-1598,5512,5627,6568,179374,002615.SZ,209191,120368,indicators,2019
